Starting...
Gathering coverage... go: no module dependencies to download
done in 41.920268702s
      KILLED ARITHMETIC_BASE at chain.go:89:23
 NOT COVERED ARITHMETIC_BASE at chain.go:377:26
      KILLED ARITHMETIC_BASE at chain.go:100:22
      KILLED CONDITIONALS_NEGATION at chain.go:139:26
      KILLED INVERT_NEGATIVES at chain.go:36:35
      KILLED ARITHMETIC_BASE at chain.go:36:35
      KILLED CONDITIONALS_NEGATION at chain.go:141:25
      KILLED INVERT_NEGATIVES at chain.go:36:33
      KILLED ARITHMETIC_BASE at chain.go:36:33
      KILLED CONDITIONALS_NEGATION at chain.go:305:17
      KILLED CONDITIONALS_NEGATION at chain.go:311:25
      KILLED CONDITIONALS_NEGATION at chain.go:288:14
      KILLED CONDITIONALS_BOUNDARY at chain.go:288:14
      KILLED CONDITIONALS_NEGATION at chain.go:361:14
      KILLED CONDITIONALS_BOUNDARY at chain.go:361:14
      KILLED CONDITIONALS_NEGATION at chain.go:418:16
      KILLED CONDITIONALS_NEGATION at chain.go:421:19
      KILLED CONDITIONALS_NEGATION at chain.go:433:16
      KILLED CONDITIONALS_BOUNDARY at clock.go:99:7
      KILLED CONDITIONALS_NEGATION at clock.go:99:7
      KILLED CONDITIONALS_BOUNDARY at clock.go:136:19
      KILLED CONDITIONALS_NEGATION at clock.go:136:19
      KILLED CONDITIONALS_BOUNDARY at clock.go:169:20
      KILLED CONDITIONALS_NEGATION at clock.go:169:20
      KILLED CONDITIONALS_BOUNDARY at clock.go:234:7
      KILLED CONDITIONALS_NEGATION at clock.go:234:7
      KILLED ARITHMETIC_BASE at clock.go:272:12
      KILLED INVERT_NEGATIVES at clock.go:273:7
      KILLED INVERT_NEGATIVES at clock.go:272:12
      KILLED ARITHMETIC_BASE at clock.go:274:16
      KILLED ARITHMETIC_BASE at clock.go:273:7
      KILLED INVERT_NEGATIVES at clock.go:275:16
      KILLED ARITHMETIC_BASE at clock.go:275:16
      KILLED CONDITIONALS_BOUNDARY at clock.go:284:9
      KILLED CONDITIONALS_NEGATION at clock.go:284:9
      KILLED CONDITIONALS_NEGATION at clock.go:284:20
      KILLED CONDITIONALS_NEGATION at clock.go:284:44
      KILLED CONDITIONALS_NEGATION at constantdelay.go:40:17
      KILLED CONDITIONALS_NEGATION at constantdelay.go:40:33
      KILLED CONDITIONALS_BOUNDARY at constantdelay.go:45:17
      KILLED CONDITIONALS_NEGATION at constantdelay.go:45:17
      KILLED CONDITIONALS_BOUNDARY at constantdelay.go:45:47
      KILLED CONDITIONALS_NEGATION at constantdelay.go:45:47
      KILLED CONDITIONALS_NEGATION at constantdelay.go:45:64
      KILLED ARITHMETIC_BASE at constantdelay.go:46:53
      KILLED CONDITIONALS_BOUNDARY at constantdelay.go:62:20
      KILLED CONDITIONALS_NEGATION at constantdelay.go:62:20
      KILLED CONDITIONALS_BOUNDARY at constantdelay.go:66:20
      KILLED CONDITIONALS_NEGATION at constantdelay.go:66:20
 NOT COVERED ARITHMETIC_BASE at cron.go:24:32
      KILLED INVERT_NEGATIVES at constantdelay.go:70:30
      KILLED ARITHMETIC_BASE at constantdelay.go:70:30
      KILLED CONDITIONALS_NEGATION at cron.go:312:9
      KILLED CONDITIONALS_NEGATION at cron.go:316:9
      KILLED CONDITIONALS_NEGATION at chain.go:414:15
       LIVED CONDITIONALS_BOUNDARY at chain.go:163:37
       LIVED CONDITIONALS_NEGATION at chain.go:163:37
       LIVED INVERT_NEGATIVES at clock.go:96:14
       LIVED ARITHMETIC_BASE at clock.go:96:14
       LIVED INVERT_NEGATIVES at clock.go:274:16
       LIVED CONDITIONALS_BOUNDARY at constantdelay.go:40:17
       LIVED CONDITIONALS_BOUNDARY at clock.go:284:20
       LIVED CONDITIONALS_BOUNDARY at constantdelay.go:40:33
       LIVED CONDITIONALS_BOUNDARY at constantdelay.go:45:64
      KILLED CONDITIONALS_NEGATION at cron.go:505:23
      KILLED CONDITIONALS_NEGATION at cron.go:166:43
      KILLED CONDITIONALS_NEGATION at cron.go:336:9
      KILLED CONDITIONALS_NEGATION at cron.go:174:18
      KILLED CONDITIONALS_NEGATION at cron.go:536:11
